t,Q,P,Bar,Eta
2025-06-25 00:00:00,1.9067,197.1667,1.4561,0.7099071277953599
2025-06-25 00:15:00,1.9058,197.2906,1.4569,0.7102984470483376
2025-06-25 00:30:00,1.9076,197.6944,1.4578000000000002,0.7106416300170247
2025-06-25 00:45:00,1.9096,197.3782,1.46,0.7076939123633743
2025-06-25 01:00:00,1.9029,197.3044,1.4568999999999999,0.7114306939402513
2025-06-25 01:15:00,1.9013,197.195,1.4571,0.7115369044307138
2025-06-25 01:30:00,1.9055,197.2086,1.4576,0.709773980817319
2025-06-25 01:45:00,1.9055,197.1393,1.4590999999999998,0.7087951497781849
2025-06-25 02:00:00,1.9014,197.5007,1.4599,0.7112357506757481
2025-06-25 02:15:00,1.9042,197.0993,1.4604000000000001,0.7085038821829529
2025-06-25 02:30:00,1.9027,197.0289,1.4587999999999999,0.7095865865882134
2025-06-25 02:45:00,1.9033,196.7644,1.4611,0.7072954669747047
2025-06-25 03:00:00,1.9029,197.222,1.4606,0.7093321324737519
2025-06-25 03:15:00,1.9001,197.2907,1.4615,0.7101872539426078
2025-06-25 03:30:00,1.8975,197.1548,1.4586,0.7120834607409482
2025-06-25 03:45:00,1.8957,196.831,1.46,0.7109066398268553
2025-06-25 04:00:00,1.9045,196.7287,1.4619,0.706334820675952
2025-06-25 04:15:00,1.8995,197.4978,1.461,0.7114006962323102
2025-06-25 04:30:00,1.8991,197.2898,1.4624,0.7101206760660081
2025-06-25 04:45:00,1.9011,196.9462,1.4653,0.7067366795214198
2025-06-25 05:00:00,1.9031,197.1447,1.4626,0.7080101197694371
2025-06-25 05:15:00,1.8966,197.0837,1.464,0.7095376112819337
2025-06-25 05:30:00,1.8978,197.2893,1.4653,0.709198939444094
2025-06-25 05:45:00,1.8998,197.2773,1.4621,0.709959692178518
2025-06-25 06:00:00,1.8957,197.082,1.461,0.7113259824016964
2025-06-25 06:15:00,1.8952,197.199,1.4632,0.710865611639866
2025-06-25 06:30:00,1.9039,197.2118,1.4618,0.7083409394142383
2025-06-25 06:45:00,1.8954,196.6816,1.4648999999999999,0.7081029681174942
2025-06-25 07:00:00,1.8879,196.5834,1.4632,0.7113866332660881
2025-06-25 07:15:00,1.895,196.212,1.4657,0.7061757500938786
2025-06-25 07:30:00,1.8941,195.8746,1.4656,0.7053445250840057
2025-06-25 07:45:00,1.897,195.9346,1.4615,0.7064582831142976
2025-06-25 08:00:00,1.8872,195.6105,1.4638,0.7078382544402657
2025-06-25 08:15:00,1.8946,195.5683,1.4616,0.7059824918133566
2025-06-25 08:30:00,1.8944,195.5144,1.4606000000000001,0.706345699967051
2025-06-25 08:45:00,1.8909,195.8378,1.4613,0.7084841080520402
2025-06-25 09:00:00,1.8889,195.7056,1.4569,0.7108960162125681
2025-06-25 09:15:00,1.8939,195.9856,1.4573,0.7098387297907658
2025-06-25 09:30:00,1.8915,195.8006,1.4610999999999998,0.7082217651241567
2025-06-25 09:45:00,1.8899,195.9847,1.4607,0.7096821005293927
2025-06-25 10:00:00,1.8921,196.1937,1.4606,0.709661448015489
2025-06-25 10:15:00,1.8966,196.1234,1.4611,0.7074817869523582
2025-06-25 10:30:00,1.8961,196.1006,1.4575,0.7093338059875084
2025-06-25 10:45:00,1.8948,195.912,1.4587999999999999,0.7085058573602326
2025-06-25 11:00:00,1.8956,196.02,1.4554,0.7102526319307445
2025-06-25 11:15:00,1.8949,196.2118,1.4558,0.7110148127045708
2025-06-25 11:30:00,1.896,196.3866,1.4562,0.7110399937661366
2025-06-25 11:45:00,1.8979,196.564,1.4565,0.7108233801148348
2025-06-25 12:00:00,1.8982,196.4434,1.4605000000000001,0.7083296956425001
2025-06-25 12:15:00,1.8998,196.4441,1.4578,0.709046468009057
2025-06-25 12:30:00,1.9014,196.5935,1.4543,0.7106948991132218
2025-06-25 12:45:00,1.9011,195.9067,1.4566,0.7072053852895009
2025-06-25 13:00:00,1.901,195.7368,1.4536,0.7080876019513838
