tempi,Portate
28/12/2022 00:11:05,"66,76559"
28/12/2022 00:26:05,"67,74704"
28/12/2022 00:41:05,"67,55933"
28/12/2022 00:56:05,"66,87821"
28/12/2022 01:11:05,"68,39062"
28/12/2022 01:26:05,"0"
28/12/2022 01:41:05,"0"
28/12/2022 01:56:05,"0"
28/12/2022 02:11:05,"0"
28/12/2022 02:26:05,"0"
28/12/2022 02:41:05,"0"
28/12/2022 02:56:05,"0"
28/12/2022 03:11:05,"0"
28/12/2022 03:26:05,"0"
28/12/2022 03:41:05,"0"
28/12/2022 03:56:05,"0"
28/12/2022 04:11:05,"0"
28/12/2022 04:26:05,"0"
28/12/2022 04:41:05,"0"
28/12/2022 04:56:05,"0"
28/12/2022 05:11:05,"0"
28/12/2022 05:26:05,"0"
28/12/2022 05:41:05,"0"
28/12/2022 05:56:05,"0"
28/12/2022 06:11:05,"0"
28/12/2022 06:26:05,"0"
28/12/2022 06:41:05,"0"
28/12/2022 06:56:05,"66,45989"
28/12/2022 07:11:05,"68,80358"
28/12/2022 07:26:05,"67,98838"
28/12/2022 07:41:05,"71,16335"
28/12/2022 07:56:05,"68,68023"
28/12/2022 08:11:05,"68,2619"
28/12/2022 08:26:05,"68,41207"
28/12/2022 08:41:05,"67,11955"
28/12/2022 08:56:05,"68,27263"
28/12/2022 09:11:05,"68,35844"
28/12/2022 09:26:05,"67,51106"
28/12/2022 09:41:05,"68,44425"
28/12/2022 09:56:05,"66,79777"
28/12/2022 10:11:05,"66,36336"
28/12/2022 10:26:05,"66,32045"
28/12/2022 10:41:05,"67,45744"
28/12/2022 10:56:05,"10,18458"
28/12/2022 11:11:05,"10,18995"
28/12/2022 11:26:05,"28,38168"
28/12/2022 11:41:05,"45,75285"
28/12/2022 11:56:05,"51,23397"
28/12/2022 12:11:05,"35,73453"
28/12/2022 12:26:05,"68,36916"
28/12/2022 12:41:05,"69,76894"
28/12/2022 12:56:05,"71,2438"
28/12/2022 13:11:05,"70,4876"
28/12/2022 13:26:05,"69,57587"
28/12/2022 13:41:05,"70,61095"
28/12/2022 13:56:05,"68,55151"
28/12/2022 14:11:05,"67,35017"
28/12/2022 14:26:05,"68,07956"
28/12/2022 14:41:05,"68,56224"
28/12/2022 14:56:05,"68,28872"
28/12/2022 15:12:06,"67,00693"
28/12/2022 15:27:06,"69,0771"
28/12/2022 15:42:06,"67,07665"
28/12/2022 15:57:06,"67,67196"
28/12/2022 16:12:06,"68,49252"
28/12/2022 16:27:06,"68,06347"
28/12/2022 16:42:06,"69,39889"
