,t,EPV,PPV,IPV,PRPV,H2O,CST,Tot,Partitore,ST,PG,TF,SCN,Rubino,MPPV,QCST,hCST,SA3,DI
0,2023-11-05 15:35:23.743684,157.88,167.78,237.0,36.79329806720494,466.04955000000007,197.58795,623.9295500000001,51.966625,145.621325,58.30645,210.61835000000002,153.0,0.0,0,96.4319975,273.66863079325003,-0.4632,4.880000000000001
1,2023-11-05 16:35:23.743684,14.379999999999999,164.28,237.0,36.02576592252013,473.888625,199.43967500000002,488.268625,51.816625,147.62305,63.4561,211.47045,13.0,0.0,0,97.5368,273.27711436699997,-0.4776,1.38
2,2023-11-05 17:35:23.743684,,,237.0,,472.44217499999996,198.54942499999999,,51.566625,146.9828,63.0137,211.35305,0.0,0.0,0,97.25701749999999,273.043135024,-0.474,
3,2023-11-05 18:35:23.743684,,,237.0,,431.57419999999996,196.786425,,51.76775,145.018675,24.1914,211.082775,0.0,0.0,0,96.17340250000001,273.7078270495,-0.4864,
4,2023-11-05 19:35:23.743684,,,237.0,,446.9990250000001,198.05490000000003,,51.542625,146.51227500000002,37.993725,211.41400000000002,0.0,0.0,0,97.02362,273.40683804175,-0.4636,
5,2023-11-05 20:35:23.743684,,,237.0,,455.3490249999999,196.779625,,51.773375,145.00625,47.851725,211.206475,0.0,0.0,0,96.13603,273.749661883,-0.4888,
6,2023-11-05 21:35:23.743684,,,237.0,,490.7281,196.4128,,51.801625,144.611175,83.662975,211.121925,0.0,0.0,0,95.4305725,273.81447910675,-0.4696,
7,2023-11-05 22:35:23.743684,,,237.0,,476.30805,195.405225,,51.700500000000005,143.704725,70.805575,210.56685,0.0,0.0,0,94.9315825,274.0577508305,-0.46959999999999996,
8,2023-11-05 23:35:23.743684,,,237.0,,521.87375,196.53135,,51.89875,144.6326,115.615725,210.199075,0.0,0.0,0,95.57189,273.90250816225,-0.4724,
9,2023-11-06 00:35:23.743684,,,237.0,,486.78157500000003,196.10490000000001,,51.7585,144.34640000000002,80.31655,210.838925,0.0,0.0,0,95.50135499999999,273.90255914925,-0.4788,
10,2023-11-06 01:35:23.743684,,,237.0,,469.19836324999994,142.52883824999998,,54.74525,87.78358825,116.5698,210.574525,0.0,0.0,0,68.206235,282.26386629225,-0.4748,
11,2023-11-06 02:35:23.743684,,,237.0,,415.6202675,108.1890675,,57.24975,50.9393175,97.82385,210.09215,0.0,0.0,0,50.815855,288.94321427925,-0.4848,
12,2023-11-06 03:35:23.743684,,,237.0,,346.12435,57.979749999999996,,57.979749999999996,0.0,78.83505,209.77435,0.0,0.0,0,28.2640775,292.813650196,-0.4648,
13,2023-11-06 04:35:23.743684,,,237.0,,384.546775,57.9695,,57.9695,0.0,116.367225,210.67885,0.0,0.0,0,28.260105,292.7789025555,-0.4688,
14,2023-11-06 05:35:23.743684,,,237.0,,344.54179999999997,57.838375,,57.838375,0.0,76.83565,210.354575,0.0,0.0,0,28.2181,292.85537030875,-0.4868,
15,2023-11-06 06:35:23.743684,,,237.0,,440.81775,126.945025,,55.0125,71.932525,103.70985,210.65087499999998,0.0,0.0,0,61.13968047683724,283.871448162,-0.488,
16,2023-11-06 07:35:23.743684,36.414086021505376,163.14741935483872,237.0,35.77739676491752,481.42082500000004,196.32550000000003,517.8349110215054,52.000375000000005,144.325125,75.199775,210.37315,36.166666666666664,0.0,0,93.7479825,274.2290671505,-0.4776,0.2474193548387097
17,2023-11-06 08:35:23.743684,222.71569288389514,164.7823595505618,237.0,36.135930809161735,443.076375,195.96859999999998,665.7920678838951,51.8685,144.1001,37.227575,210.3558,220.83333333333334,0.0,0,93.9872125,274.37745206725003,-0.4756,1.8823595505617978
18,2023-11-06 09:35:23.743684,,,237.0,,445.49445000000003,193.67952499999998,,51.841375,141.83814999999998,42.9761,209.322425,504.1666666666667,0.0,0,92.68688999999999,274.59039927275,-0.4836,
19,2023-11-06 10:35:23.743684,,,237.0,,484.333425,196.358375,,51.890375,144.468,79.1289,209.33655,576.1666666666666,0.0,0,93.6504425,274.67638884825,-0.4904,
20,2023-11-06 11:35:23.743684,,,237.0,,432.647,196.4204,,51.988375,144.432025,27.070275,209.657525,573.3333333333334,0.0,0,93.6384475,274.53732180574997,-0.5012,
21,2023-11-06 12:35:23.743684,575.8966666666666,167.13,237.0,36.650756383192046,452.30989999999997,195.1597,1028.2065666666667,52.1325,143.0272,47.72695,209.90525,571.6666666666666,0.0,0,93.3693525,274.72960652949996,-0.482,4.23
22,2023-11-06 13:35:23.743684,468.85752808988764,169.25752808988764,237.0,37.11731243968023,454.40925,195.06225,923.2667780898876,51.93,143.13225,49.876149999999996,209.94245,462.5,0.0,0,93.023195,274.75279286775,-0.4716,6.357528089887641
23,2023-11-06 14:35:23.743684,,,237.0,,430.3736966666667,154.07702166666667,,52.950125,101.12689666666667,67.244975,209.51330000000002,204.83333333333334,0.0,0,74.87262666666666,279.54131345325004,-0.4616,
